"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1770085900825018426","Tue Mar 19 13:52:20 +0000 2024","0","bye scarlet kmu terlalu mahal. aku mau timses nya originote saja. pye pye https://t.co/uibEm8TH3q","1770085900825018426","https://pbs.twimg.com/media/GJCbvnSaAAAc9-5.jpg","","in","","0","2","0","https://twitter.com/p0werpuffgurl1/status/1770085900825018426","1726996122114359296","p0werpuffgurl1"
"1772256310307729919","Mon Mar 25 17:39:56 +0000 2024","12","@ohmybeautybank gaaaa! ini perih bgt asli udh coba pakenya dikit2 dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase 4 kali https://t.co/JFtZQbvtQB","1772317506595647818","https://pbs.twimg.com/media/GJiJW92aQAAiGnZ.jpg","ohmybeautybank","in","","0","4","0","https://twitter.com/versusvani/status/1772317506595647818","588025874","versusvani"
"1769640212987367857","Mon Mar 18 08:21:19 +0000 2024","0","wts micellar water the originote 30k aja baru dipake 5-10% #wts #zonauang https://t.co/zOfep2dNaE","1769640212987367857","https://pbs.twimg.com/media/GI8GX-PbgAABMGM.jpg","","in","","0","1","0","https://twitter.com/bbaemour/status/1769640212987367857","1682367658094907396","bbaemour"
"1772413588713480477","Tue Mar 26 00:01:44 +0000 2024","0","guys mending micella water facetology atau the originote ya? tolong minta reviewnya dong mau co bingung banget antara dua ini huhu https://t.co/4npytWreVT","1772413588713480477","https://pbs.twimg.com/media/GJjgwjzaMAANT_E.jpg","","in","EXO PLANET ","0","5","0","https://twitter.com/sehunielof_/status/1772413588713480477","1254462285428359168","sehunielof_"
"1769738178762875210","Mon Mar 18 14:50:36 +0000 2024","0","beli serum the originote lama bgt nyampenya","1769738178762875210","","","in","vk","0","1","0","https://twitter.com/tamparjeki/status/1769738178762875210","1328185941110898688","tamparjeki"
"1772256310307729919","Mon Mar 25 17:08:38 +0000 2024","46","@ohmybeautybank mau honest review gue blm prnah pake ini tp pernah pake yg originote. beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk","1772309628770025980","","ohmybeautybank","in","Indonesia","1","5","2","https://twitter.com/heisunsunny/status/1772309628770025980","1270884887717752832","heisunsunny"
"1772287348333588811","Mon Mar 25 15:40:06 +0000 2024","0","user the originote ada yang bisa ditanya-tanya ga yaaa ","1772287348333588811","","","in","","0","2","0","https://twitter.com/satoornuzexx/status/1772287348333588811","1145802356644122624","satoornuzexx"
"1771258087871054008","Fri Mar 22 19:30:11 +0000 2024","0","cosrx bagus bgt ya bjir lah takut gabisa balik ke originote","1771258087871054008","","","in","","0","1","0","https://twitter.com/wheresaitch/status/1771258087871054008","1004213125464219649","wheresaitch"
"1770076428459204774","Tue Mar 19 13:14:41 +0000 2024","4","The originote micellar water ukuran gede loh 300 ml cuma 35rb an combo kode GLOW24DM https://t.co/7CHIgAmsYn https://t.co/dqYv8jqEg0","1770076428459204774","https://pbs.twimg.com/media/GJCTHgBaYAA_B4d.jpg","","in","","0","0","1","https://twitter.com/pemburupromo28/status/1770076428459204774","2384473045","pemburupromo28"
"1769646147226972199","Mon Mar 18 08:44:54 +0000 2024","0","MW ORIGINOTE ENAK BGT DI MUKAAA","1769646147226972199","","","in","","0","2","0","https://twitter.com/radiohcead/status/1769646147226972199","1343487443547213824","radiohcead"
