nilai,fitur
0.36799127601640624,aab
0.4658511105638993,aamiin
0.3614484792707882,aamiinn
0.3731155953970374,ab
2.8521171852785296,abal
2.3051230860384457,abang
0.316927600589782,abb
0.26626205871758213,abiezz
0.26626205871758213,abisabisnya
0.08885645384514922,abisin
0.24617026237766032,abiss
0.2924526170798941,about
0.4387923460689075,abroad
0.7781825485267336,abu
0.2298895964991075,acara
0.40459157830741954,acare
0.2546605315403196,accord
0.2546605315403196,account
1.5287907726545769,acid
0.46367957095580403,acidnya
0.5315614784803535,acnaway
0.28124539093454143,acne
0.5534252812944088,acnesafiourset
0.3128413650728404,act
0.2839272442624202,action
0.30167988393765444,activated
0.41602037003374653,activity
0.5495993743151983,acuu
1.4246042270187234,adabuka
0.2804926947361167,adaramelebaran
0.42435560015641904,add
0.3276600960497029,address
0.34847817427493716,ade
0.4419898806688286,adeem
0.37230410484930465,adekku
0.31201840004226544,adeknya
0.44076623319915476,adem
1.1097720258730206,admin
0.3931448091150702,ads
0.6449878168962113,aduh
0.3590205728491278,ae
0.299846118035354,aekaja
0.3170784120837513,aer
0.44325661737880184,aero
0.26833939982832267,aff
0.3278405928420134,affiliasi
0.3371833221818608,affiliatemarketing
0.6398540464047857,afford
0.2930885054339356,affordable
0.8228688223855916,after
0.2673149761132429,afterny
0.6603921314929571,afternya
0.2267677858236761,aga
0.2618264573423571,aging
0.1833461855722722,ah
0.44761387467441555,ain
1.0414792326286064,air
0.6703001761466809,airin
0.32414960831711115,ajaata
0.5227587221784392,ajah
0.13004673290343147,ajahh
0.3189864456261581,ajakin
0.44567174681474686,ajar
0.3360557871960512,ajasih
0.5647895470959743,ajhh
0.2537853435677997,akal
0.1613400706718054,akhirakhir
0.27907933516443795,akhirnyaa
0.8401903611101467,akhirnye
0.6698938328415074,aksesoris
0.49769791774479555,aktif
0.284374146364369,aktifin
4.421766656729416,aktivitas
0.36206618469201335,akulakuindonesia
0.5566373921042684,akumulasi
0.24889293511711455,akun
0.18452755487592087,akurat
0.39852537410707517,akuratt
0.41142531288513473,akutuh
0.18156020977839998,akuu
0.40842959268435,akuzonauang
1.8847574277945687,ala
0.27981584135110693,alam
1.5198500960055195,alas
0.20663823728117167,alat
0.7293309806633079,alergi
0.2952440400015044,alert
0.3567599408745661,alesan
0.37149037403644586,alhamdulillah
0.411410696543235,alhasil
0.2086988075386661,alias
0.3418361045859224,alih
0.9728000225614681,alis
0.32857730268345803,alkid
0.023158201670382173,all
0.715289513515198,allahh
0.3053027583557438,allahu
0.8498754055195592,allantoin
0.5855981355625048,almost
0.41142531288513473,alo
0.33180344752136726,aloe
0.30167988393765444,alpha
0.4747507360039376,alphard
0.6316121802486958,alternatif
0.6028796974332644,alus
0.5636133154401075,aman
2.8492084540374467,amanguni
2.3308382205217475,amann
0.8005465062885013,amaterasun
1.4246042270187234,amavenda
1.6226500475092553,ambil
0.1779064493780196,amik
0.33261634220369385,amin
0.3015353921409015,aminnm
0.43195069234412337,amino
0.5268174493974375,ampas
0.4973509883252586,ampe
0.2995839433136684,ampoule
0.7379373413279924,ampuh
0.6325440056653855,ampun
2.7015900180616708,anak
0.5871489724282044,ance
0.4196642640426351,andal
1.7264310349970162,aneh
0.3181798312258492,anggap
0.3474116246064939,anggota
2.2253546369905006,angkat
0.423806790332941,angkut
0.3137006271666014,angsur
0.6418568415330741,animate
0.4136946369002169,animemanga
0.48952823273736934,anj
1.3266191256684634,anjay
2.509981519775493,anjing
2.4569805548487023,anniversary
0.7371200413651668,annoying
0.32018345088312283,another
0.32397499029333593,anti
0.42435560015641904,antiaging
1.7738295444572587,antipenuaan
0.7371200413651668,anuin
0.366671561263025,anw
0.7353532284713544,any
0.4655528940341271,anyoba
0.8541032625544105,anything
0.3523460445391743,aowkowk
0.5927329177811411,apaa
0.39880439227165776,apaapa
0.40672215316375865,apk
0.3486857518901618,aplg
0.7008413730601606,apotik
0.34340999218300083,appreciated
0.4312137504394958,approved
0.3671021779819738,april
1.0852634105136132,apus
2.412004319524956,aqua
0.27602414183374513,arak
0.30167988393765444,arbutin
0.34340999218300083,are
0.23842723511329225,area
0.3857052077761637,aromayaa
0.2816809146036022,around
0.1898711668555576,artis
0.2051874439761776,arusha
0.589397722362757,as
0.34514032735906763,asa
0.07874976890494982,asia
0.3799903889968637,asli
0.4506018041984261,aslikk
0.27602414183374513,aspergillusrice
0.26792146796014693,asset
0.3567910915307252,astachiol
0.3349469164207537,asusu
0.5832899911270353,asuuw
0.02862222808695257,at
0.40842959268435,ateez
0.4253489837584091,atittude
0.3592551996350213,atopic
1.2747554677892055,attack
2.76266247643239,attention
2.206154012114435,atur
1.8356946813622153,aur
0.3592551996350213,aussie
0.4608046893928355,auto
5.642822735494853,avail
0.7913425760007222,avo
0.35351624125345654,avon
0.6678956934721363,avoskin
3.907390174907525,avoskinn
0.4990173842301274,avoskintanya
0.7375429340066344,awat
1.350346074159395,awet
0.4501847534478176,ayah
0.5268174493974375,ayam
0.33817142443845094,ayana
1.2348083531106386,ayo
0.423806790332941,ayoo
0.44325661737880184,azaa
0.4768608827732712,azalea
0.2384304413866356,azaleacantiknyamuslimah
0.21355874313789833,azarine
0.9021365336734816,azarinee
0.38619272096536433,azarinesunscreen
1.8751829446076433,azeclair
0.30432883033427977,azrina
0.701982929259683,babi
1.4523293215038338,baby
0.9482624928900012,baca
0.14558711806320876,back
0.2562471607130445,backpack
0.2562471607130445,backpacking
0.4425070121891774,bad
0.32689668352514134,bada
0.9998420511850961,bag
0.2562471607130445,baggage
0.6058145208905409,bagibagi
0.39397831151583107,bagiin
0.6758260274323339,bagus
0.7622502358906802,bagusbagus
0.5303366446143218,bagusbaguss
0.18255109398303856,bahagia
0.2823529114664388,bahan
0.8597477666221395,bahas
0.385416975229925,bahaya
1.8446540606873003,baim
